Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,48.720001,48.720001,48.720001,48.720001,38.633915,0
2019-10-02,48.009998,48.009998,48.009998,48.009998,38.070896,0
2019-10-03,48.520000,48.520000,48.520000,48.520000,38.475315,0
2019-10-04,49.160000,49.160000,49.160000,49.160000,38.982822,0
2019-10-07,49.020000,49.020000,49.020000,49.020000,38.871811,0
2019-10-08,48.279999,48.279999,48.279999,48.279999,38.285004,0
2019-10-09,48.700001,48.700001,48.700001,48.700001,38.618053,0
2019-10-10,49.049999,49.049999,49.049999,49.049999,38.895599,0
2019-10-11,49.590000,49.590000,49.590000,49.590000,39.323803,0
2019-10-14,49.580002,49.580002,49.580002,49.580002,39.315876,0
2019-10-15,50.270000,50.270000,50.270000,50.270000,39.863033,0
2019-10-16,50.060001,50.060001,50.060001,50.060001,39.696507,0
2019-10-17,50.259998,50.259998,50.259998,50.259998,39.855103,0
2019-10-18,49.759998,49.759998,49.759998,49.759998,39.458607,0
2019-10-21,50.090000,50.090000,50.090000,50.090000,39.720291,0
2019-10-22,49.669998,49.669998,49.669998,49.669998,39.387245,0
2019-10-23,49.799999,49.799999,49.799999,49.799999,39.490334,0
2019-10-24,50.150002,50.150002,50.150002,50.150002,39.767876,0
2019-10-25,50.439999,50.439999,50.439999,50.439999,39.997837,0
2019-10-28,50.810001,50.810001,50.810001,50.810001,40.291241,0
2019-10-29,50.770000,50.770000,50.770000,50.770000,40.259518,0
2019-10-30,51.049999,51.049999,51.049999,51.049999,40.481556,0
2019-10-31,50.840000,50.840000,50.840000,50.840000,40.315029,0
2019-11-01,51.279999,51.279999,51.279999,51.279999,40.663937,0
2019-11-04,51.509998,51.509998,51.509998,51.509998,40.846321,0
2019-11-05,51.430000,51.430000,51.430000,51.430000,40.782887,0
2019-11-06,51.340000,51.340000,51.340000,51.340000,40.711517,0
2019-11-07,51.540001,51.540001,51.540001,51.540001,40.870113,0
2019-11-08,51.740002,51.740002,51.740002,51.740002,41.028709,0
2019-11-11,51.650002,51.650002,51.650002,51.650002,40.957344,0
2019-11-12,51.860001,51.860001,51.860001,51.860001,41.123867,0
2019-11-13,51.720001,51.720001,51.720001,51.720001,41.012852,0
2019-11-14,51.820000,51.820000,51.820000,51.820000,41.092148,0
2019-11-15,52.400002,52.400002,52.400002,52.400002,41.552078,0
2019-11-18,52.500000,52.500000,52.500000,52.500000,41.631374,0
2019-11-19,52.580002,52.580002,52.580002,52.580002,41.694809,0
2019-11-20,52.490002,52.490002,52.490002,52.490002,41.623444,0
2019-11-21,52.430000,52.430000,52.430000,52.430000,41.575867,0
2019-11-22,52.480000,52.480000,52.480000,52.480000,41.615513,0
2019-11-25,53.020000,53.020000,53.020000,53.020000,42.043724,0
2019-11-26,53.070000,53.070000,53.070000,53.070000,42.083370,0
2019-11-27,53.360001,53.360001,53.360001,53.360001,42.313332,0
2019-11-29,53.150002,53.150002,53.150002,53.150002,42.146809,0
